统计日期,栏目键,栏目名称,栏目链接,栏目文章数,栏目热点词,文章标题,发布时间,关键词,摘要,文章链接
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,Hermes Agent 集成实践：从协议到生产,2026-04-14,首页,Hermes Agent 集成实践：从协议到生产 分享 HagiCode 集成 Hermes Agent 的完整实践，包括 ACP 协议适配、会话池管理、前后端契约同步等核心经验。 背景 在构建 AI 辅助编码平台 HagiCode...,https://www.infoq.cn/article/1bc1f3245efbf5b482bcf9087
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,用好Agent最重要的技巧不是Skills，是这四个字。,2026-04-14,首页,今天这篇文章，来分享一下我自己最近几个月高强度使用Agent之后，我自己总结出来的怎么给Agent设定规则，如何让它Agent更好的工作更聪明的一个非常重要的心得。,https://www.infoq.cn/article/f9300e53f174b92cacdc27fe5
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,AI没我们想的那么聪明！复盘我的Vibe Coding翻车案例,2026-04-14,vibe coding,我已经失去了编写代码的能力，变成只会写提示词的提示词工程师。但也没有完全丧失，我还会Review代码，偶尔手动改几行代码。,https://www.infoq.cn/article/24bc8b5a9b45bf77f7245ee6d
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,中国水界瞩目！2026青岛国际水大会暨水利博览会,2026-04-14,首页,致水处理企业决策者的一封信,https://www.infoq.cn/article/59dd8c4b4cae2b5704a8de29c
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,虚拟电厂聚合：让红区分布式光伏成为可调资源,2026-04-14,虚拟电厂|虚拟电厂系统|分布式光伏并网|分布式光伏发电|分布式光伏,2026年，绿、黄、红三色分区管理体系已全面覆盖分布式光伏项目，红区作为光伏装机密度高、反向负载率超标、逆流风险突出的核心管控区域，大量分布式光伏（户用、工商业小型项目）面临“限电运行、并网受阻、出力浪费”的困境——要么被强制降低出力，要么因逆,https://www.infoq.cn/article/3a4e51c3735c00d696a87689a
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,2026年工业洗衣进入数据化阶段：RFID如何解决布草管理全流程难题？,2026-04-14,斯科信息|RFID通道机|RFID隧道机|RFID洗涤标签|RFID洗涤市场规模,随着工业洗衣市场规模持续扩大，布草管理从“人工经验”走向“数据驱动”。通过RFID技术对每一件布草进行全流程追踪，洗涤企业在交接、复核、分发等关键环节实现自动识别与精准管理，大幅降低差错率并提升运营效率。,https://www.infoq.cn/article/5be8bd05e1cc6b26eec1712d2
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,Anthropic 托管 Agent 平台上线后，测试对象开始从功能点转向运行系统,2026-04-14,首页,Anthropic 把 Claude Managed Agents 推到 public beta，开始直接提供托管式 Agent 运行基础设施；DeepSeek 在产品入口中加入了 instant 和 expert 模式，模型能力开始显式分层；PyTorch Foundation 接收 Safetensors，模型分发安全开始进入更明确的标准化阶,https://www.infoq.cn/article/5d92520159f8509586aebed16
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,【大卷一 | LangGraph】Agent 框架与 LangGraph 核心｜这一卷会讲什么,2026-04-14,AI|LangGraph|月更|💼 职场情报|Agent 框架,2026 年春招，面试官不再满足于 API 调用能力，而是转向框架选型判断与底层原理深挖。,https://www.infoq.cn/article/7a90a43f428d4925c2470f942
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,立正请站好：一个组件复用 Skill 的工程化实践｜得物技术,2026-04-14,首页,"做这个 Skill 的初衷很直接，也很现实：功能开发时容易""顺手新建一个""，而不是先复用已有组件，造成组件库越来越臃肿。所以做这个 Skill 的目标不是""帮 AI 搜索一下""，而是把""复用优先""的思考过程流程化......",https://www.infoq.cn/article/f77e3f370a93e6b765f3606ff
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,三体协创：码道智能生成、MaaS大模型与鸿蒙云手机的融合开发实践,2026-04-14,人工智能|鸿蒙|程序员|软件开发|华为云码道,本案例依托华为云码道的智能代码生成能力，实现鸿蒙原生应用的快速构建。开发者通过DevEco Studio进行代码开发后，可借助DevEco Testing工具远程连接鸿蒙云手机，实现端云协同的智能化开发调试闭环。,https://www.infoq.cn/article/ed0d6e757a9502766cfe4c855
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,主流低代码平台深度对比，“源码级”路线走得通？,2026-04-14,首页,今天想跟大家聊一聊低代码，这几年它火得一塌糊涂，但真正用明白的人，其实没那么多。,https://www.infoq.cn/article/9e31b8226c79eb80ac9b0a1d2
2026-04-14,首页,首页,https://www.infoq.cn/,12,首页:6|月更:2|vibe coding:1|虚拟电厂:1|虚拟电厂系统:1|分布式光伏并网:1|分布式光伏发电:1|分布式光伏:1|斯科信息:1|RFID通道机:1,Zed 终端新技能,2026-04-14,zed|月更,推荐阅读,https://www.infoq.cn/article/2a1de1e00f6aac88e3e6cd063
