统计日期,栏目,文章标题,发布时间,原始关键词,归一关键词,实体,信号,主题,核心摘要,延伸检索词,文章链接
2026-04-14,首页,Hermes Agent 集成实践：从协议到生产,2026-04-14,首页,首页|Hermes|Agent|集成实践|从协议到生产|HagiCode|ACP|AI,首页|Hermes|Agent|集成实践|从协议到生产,信息更新,AI Agent 工程实践与平台演进,AI Agent 工程实践与平台演进方向出现信息更新信号，重点涉及首页、Hermes；代表事件为《Hermes Agent 集成实践：从协议到生产》。,首页 AI Agent 工程实践与平台演进|Hermes AI Agent 工程实践与平台演进|Agent AI Agent 工程实践与平台演进|AI Agent 工程实践与平台演进 信息更新,https://www.infoq.cn/article/1bc1f3245efbf5b482bcf9087
2026-04-14,首页,用好Agent最重要的技巧不是Skills，是这四个字。,2026-04-14,首页,Agent|首页|Skills|用好|最重要的技巧不是|是这四个字|今天这篇文章|来分享一下我自己最近几个,Agent|首页|Skills|用好|最重要的技巧不是,信息更新,AI Agent 工程实践与平台演进,AI Agent 工程实践与平台演进方向出现信息更新信号，重点涉及Agent、首页；代表事件为《用好Agent最重要的技巧不是Skills，是这四个字。》。,Agent AI Agent 工程实践与平台演进|首页 AI Agent 工程实践与平台演进|Skills AI Agent 工程实践与平台演进|AI Agent 工程实践与平台演进 信息更新,https://www.infoq.cn/article/f9300e53f174b92cacdc27fe5
2026-04-14,首页,AI没我们想的那么聪明！复盘我的Vibe Coding翻车案例,2026-04-14,vibe coding,vibe coding|AI|Vibe|Coding|Review|没我们想的那么聪明|复盘我的|翻车案例,Vibe|Coding|Review|没我们想的那么聪明|复盘我的,信息更新,AI Agent 工程实践与平台演进,AI Agent 工程实践与平台演进方向出现信息更新信号，重点涉及Vibe、Coding；代表事件为《AI没我们想的那么聪明！复盘我的Vibe Coding翻车案例》。,Vibe AI Agent 工程实践与平台演进|Coding AI Agent 工程实践与平台演进|vibe coding AI Agent 工程实践与平台演进|AI AI Agent 工程实践与平台演进|AI Agent 工程实践与平台演进 信息更新,https://www.infoq.cn/article/24bc8b5a9b45bf77f7245ee6d
2026-04-14,首页,中国水界瞩目！2026青岛国际水大会暨水利博览会,2026-04-14,首页,首页|中国水界瞩目|青岛国际水大会暨水利博览|致水处理企业决策者的一封,首页|中国水界瞩目|青岛国际水大会暨水利博览|致水处理企业决策者的一封,信息更新,行业数字化与物联网应用,行业数字化与物联网应用方向出现信息更新信号，重点涉及首页、中国水界瞩目；代表事件为《中国水界瞩目！2026青岛国际水大会暨水利博览会》。,首页 行业数字化与物联网应用|中国水界瞩目 行业数字化与物联网应用|青岛国际水大会暨水利博览 行业数字化与物联网应用|行业数字化与物联网应用 信息更新,https://www.infoq.cn/article/59dd8c4b4cae2b5704a8de29c
2026-04-14,首页,虚拟电厂聚合：让红区分布式光伏成为可调资源,2026-04-14,虚拟电厂|虚拟电厂系统|分布式光伏并网|分布式光伏发电|分布式光伏,虚拟电厂|虚拟电厂系统|分布式光伏并网|分布式光伏发电|分布式光伏|虚拟电厂聚合|让红区分布式光伏成为可调|资源,虚拟电厂|虚拟电厂系统|分布式光伏并网|分布式光伏发电|分布式光伏,信息更新,行业数字化与物联网应用,行业数字化与物联网应用方向出现信息更新信号，重点涉及虚拟电厂、虚拟电厂系统；代表事件为《虚拟电厂聚合：让红区分布式光伏成为可调资源》。,虚拟电厂 行业数字化与物联网应用|虚拟电厂系统 行业数字化与物联网应用|分布式光伏并网 行业数字化与物联网应用|行业数字化与物联网应用 信息更新,https://www.infoq.cn/article/3a4e51c3735c00d696a87689a
2026-04-14,首页,2026年工业洗衣进入数据化阶段：RFID如何解决布草管理全流程难题？,2026-04-14,斯科信息|RFID通道机|RFID隧道机|RFID洗涤标签|RFID洗涤市场规模,斯科信息|RFID通道机|RFID隧道机|RFID洗涤标签|RFID洗涤市场规模|RFID|年工业洗衣进入数据化阶段|如何解决布草管理全流程难,斯科信息|RFID通道机|RFID隧道机|RFID洗涤标签|RFID洗涤市场规模,信息更新,行业数字化与物联网应用,行业数字化与物联网应用方向出现信息更新信号，重点涉及斯科信息、RFID通道机；代表事件为《2026年工业洗衣进入数据化阶段：RFID如何解决布草管理全流程难题？》。,斯科信息 行业数字化与物联网应用|RFID通道机 行业数字化与物联网应用|RFID隧道机 行业数字化与物联网应用|行业数字化与物联网应用 信息更新,https://www.infoq.cn/article/5be8bd05e1cc6b26eec1712d2
2026-04-14,首页,Anthropic 托管 Agent 平台上线后，测试对象开始从功能点转向运行系统,2026-04-14,首页,首页|Anthropic|Agent|Claude|Managed|Agents|public|beta,首页|Anthropic|Agent|Claude|Managed,信息更新,AI Agent 工程实践与平台演进,AI Agent 工程实践与平台演进方向出现信息更新信号，重点涉及首页、Anthropic；代表事件为《Anthropic 托管 Agent 平台上线后，测试对象开始从功能点转向运行系统》。,首页 AI Agent 工程实践与平台演进|Anthropic AI Agent 工程实践与平台演进|Agent AI Agent 工程实践与平台演进|AI Agent 工程实践与平台演进 信息更新,https://www.infoq.cn/article/5d92520159f8509586aebed16
2026-04-14,首页,【大卷一 | LangGraph】Agent 框架与 LangGraph 核心｜这一卷会讲什么,2026-04-14,AI|LangGraph|月更|💼 职场情报|Agent 框架,LangGraph|AI|月更|💼 职场情报|Agent 框架|Agent|API|大卷一,LangGraph|月更|💼 职场情报|Agent 框架|Agent,信息更新,AI Agent 工程实践与平台演进,AI Agent 工程实践与平台演进方向出现信息更新信号，重点涉及LangGraph、月更；代表事件为《【大卷一 | LangGraph】Agent 框架与 LangGraph 核心｜这一卷会讲什么》。,LangGraph AI Agent 工程实践与平台演进|月更 AI Agent 工程实践与平台演进|AI AI Agent 工程实践与平台演进|AI Agent 工程实践与平台演进 信息更新,https://www.infoq.cn/article/7a90a43f428d4925c2470f942
2026-04-14,首页,立正请站好：一个组件复用 Skill 的工程化实践｜得物技术,2026-04-14,首页,首页|Skill|AI|立正请站好|一个组件复用|的工程化实践|得物技术|做这个,首页|Skill|立正请站好|一个组件复用|的工程化实践,信息更新,AI Agent 工程实践与平台演进,AI Agent 工程实践与平台演进方向出现信息更新信号，重点涉及首页、Skill；代表事件为《立正请站好：一个组件复用 Skill 的工程化实践｜得物技术》。,首页 AI Agent 工程实践与平台演进|Skill AI Agent 工程实践与平台演进|AI AI Agent 工程实践与平台演进|AI Agent 工程实践与平台演进 信息更新,https://www.infoq.cn/article/f77e3f370a93e6b765f3606ff
2026-04-14,首页,三体协创：码道智能生成、MaaS大模型与鸿蒙云手机的融合开发实践,2026-04-14,人工智能|鸿蒙|程序员|软件开发|华为云码道,人工智能|鸿蒙|程序员|软件开发|华为云码道|DevEco|MaaS|Studio,人工智能|鸿蒙|程序员|软件开发|华为云码道,信息更新,开发工具与低代码/智能化开发,开发工具与低代码/智能化开发方向出现信息更新信号，重点涉及人工智能、鸿蒙；代表事件为《三体协创：码道智能生成、MaaS大模型与鸿蒙云手机的融合开发实践》。,人工智能 开发工具与低代码/智能化开发|鸿蒙 开发工具与低代码/智能化开发|程序员 开发工具与低代码/智能化开发|开发工具与低代码/智能化开发 信息更新,https://www.infoq.cn/article/ed0d6e757a9502766cfe4c855
