统计日期,栏目,文章标题,发布时间,原始关键词,归一关键词,实体,信号,主题,核心摘要,延伸检索词,文章链接
2026-04-23,专题,氪大事 | 为了保住同伙，AI有多癫？,2026-04-15,专题,专题|AI|氪大事|为了保住同伙|有多癫,专题|氪大事|为了保住同伙|有多癫,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及专题、氪大事；代表事件为《氪大事 | 为了保住同伙，AI有多癫？》。,专题 AI与前沿技术|氪大事 AI与前沿技术|AI AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/video/3766585318896386
2026-04-23,专题,于东来和魏建军，两个“最轴”的老板“约会”了,2026-04-14,专题,专题|于东来和魏建军|两个|最轴|的老板|约会,专题|于东来和魏建军|两个|最轴|的老板,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及专题、于东来和魏建军；代表事件为《于东来和魏建军，两个“最轴”的老板“约会”了》。,专题 企业战略与人事|于东来和魏建军 企业战略与人事|两个 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/video/3764840757948933
2026-04-23,专题,AI盗脸风波：当技术“越界” 如何守住自己的数字人格？,2026-04-13,专题,专题|AI|盗脸风波|当技术|越界|如何守住自己的数字人格,专题|盗脸风波|当技术|越界|如何守住自己的数字人格,信息更新,AI与前沿技术,AI与前沿技术方向出现信息更新信号，重点涉及专题、盗脸风波；代表事件为《AI盗脸风波：当技术“越界” 如何守住自己的数字人格？》。,专题 AI与前沿技术|盗脸风波 AI与前沿技术|AI AI与前沿技术|AI与前沿技术 信息更新,https://36kr.com/video/3765091828527880
2026-04-23,活动,FBIF2026食品饮料创新论坛及FBIF展览,2026-04-23,活动,活动|FBIF2026|FBIF|食品饮料创新论坛及|展览|时间|地点|杭州,活动|FBIF2026|FBIF|食品饮料创新论坛及|展览,信息更新,活动与行业动态,活动与行业动态方向出现信息更新信号，重点涉及活动、FBIF2026；代表事件为《FBIF2026食品饮料创新论坛及FBIF展览》。,活动 活动与行业动态|FBIF2026 活动与行业动态|FBIF 活动与行业动态|活动与行业动态 信息更新,https://www.foodtalks.cn/fbif/2026
2026-04-23,活动,AttraX「春潮·Spring｜深圳黑客松」,2026-04-23,活动,活动|AttraX|Spring|春潮|深圳黑客松|时间|地点|深圳,活动|AttraX|Spring|春潮|深圳黑客松,信息更新,活动与行业动态,活动与行业动态方向出现信息更新信号，重点涉及活动、AttraX；代表事件为《AttraX「春潮·Spring｜深圳黑客松」》。,活动 活动与行业动态|AttraX 活动与行业动态|Spring 活动与行业动态|活动与行业动态 信息更新,https://mp.weixin.qq.com/s/mFfKdnAooLOfzDOLiq8YRg
2026-04-23,36氪独家,智界要打翻盘仗：V9给了年均12万辆指引｜ 36 氪 独 家,2026-04-23,36氪独家,36氪独家|V9|智界要打翻盘仗|给了年均|万辆指引,36氪独家|V9|智界要打翻盘仗|给了年均|万辆指引,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及36氪独家、V9；代表事件为《智界要打翻盘仗：V9给了年均12万辆指引｜ 36 氪 独 家》。,36氪独家 企业战略与人事|V9 企业战略与人事|智界要打翻盘仗 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/3776741071571200
2026-04-23,36氪独家,36 氪 独 家 专访 | 拿到大疆、美团投资后，智能派追赶拓竹，要打“老二”翻身仗,2026-04-23,36氪独家,36氪独家|专访|拿到大疆|美团投资后|智能派追赶拓竹|要打|老二|翻身仗,36氪独家|专访|拿到大疆|美团投资后|智能派追赶拓竹,投融资,投资与市场观察,投资与市场观察方向出现投融资信号，重点涉及36氪独家、专访；代表事件为《36 氪 独 家 专访 | 拿到大疆、美团投资后，智能派追赶拓竹，要打“老二”翻身仗》。,36氪独家 投资与市场观察|专访 投资与市场观察|拿到大疆 投资与市场观察|投资与市场观察 投融资,https://36kr.com/p/3773892499096068
2026-04-23,36氪独家,小米汽车重磅任命：胡峥楠任CTO，宋钢任参谋长｜ 36 氪 独 家,2026-04-23,36氪独家,36氪独家|CTO|小米汽车重磅任命|胡峥楠任|宋钢任参谋长,36氪独家|CTO|小米汽车重磅任命|胡峥楠任|宋钢任参谋长,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及36氪独家、CTO；代表事件为《小米汽车重磅任命：胡峥楠任CTO，宋钢任参谋长｜ 36 氪 独 家》。,36氪独家 企业战略与人事|CTO 企业战略与人事|小米汽车重磅任命 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/3770688595214857
2026-04-23,36氪独家,欣旺达装车特斯拉，供应全球车型｜ 36 氪 独 家,2026-04-23,36氪独家,36氪独家|欣旺达装车特斯拉|供应全球车型,36氪独家|欣旺达装车特斯拉|供应全球车型,信息更新,企业战略与人事,企业战略与人事方向出现信息更新信号，重点涉及36氪独家、欣旺达装车特斯拉；代表事件为《欣旺达装车特斯拉，供应全球车型｜ 36 氪 独 家》。,36氪独家 企业战略与人事|欣旺达装车特斯拉 企业战略与人事|供应全球车型 企业战略与人事|企业战略与人事 信息更新,https://36kr.com/p/3759598959969030
2026-04-23,36氪独家,获韶音投资，一家AI公司做了“硬件版OpenClaw” | 36 氪 独 家,2026-04-23,36氪独家,36氪独家|AI|OpenClaw|获韶音投资|一家|公司做了|硬件版,36氪独家|OpenClaw|获韶音投资|一家|公司做了,投融资,AI与前沿技术,AI与前沿技术方向出现投融资信号，重点涉及36氪独家、OpenClaw；代表事件为《获韶音投资，一家AI公司做了“硬件版OpenClaw” | 36 氪 独 家》。,36氪独家 AI与前沿技术|OpenClaw AI与前沿技术|AI AI与前沿技术|AI与前沿技术 投融资,https://36kr.com/p/3749149674439169
