统计日期,栏目,文章标题,发布时间,原始关键词,归一关键词,实体,信号,主题,核心摘要,延伸检索词,文章链接
2026-04-21,首页,专访中信科移动王震：突围卫星互联网 赋能6G价值共创,2026-04-21,卫星互联网,卫星互联网|专访中信科移动王震|突围卫星互联网|赋能|价值共创|C114|日消息|岳明,专访中信科移动王震|突围卫星互联网|赋能|价值共创|C114,技术趋势,卫星互联网与商业航天,卫星互联网与商业航天方向出现技术趋势信号，重点涉及专访中信科移动王震、突围卫星互联网；代表事件为《专访中信科移动王震：突围卫星互联网 赋能6G价值共创》。,专访中信科移动王震 卫星互联网与商业航天|突围卫星互联网 卫星互联网与商业航天|卫星互联网 卫星互联网与商业航天|卫星互联网与商业航天 技术趋势,https://www.c114.com.cn/satellite/2514/a1308927.html
2026-04-21,首页,国内首个Pre6G试验网在南京正式投入运行,2026-04-21,Pre6G,Pre6G|国内首个|C114|试验网在南京正式投入运行|在今天召开的|全球|技术与产业生态大会|获悉,Pre6G|国内首个|C114|试验网在南京正式投入运行|在今天召开的,技术趋势,前沿技术演进与试验,前沿技术演进与试验方向出现技术趋势信号，重点涉及Pre6G、国内首个；代表事件为《国内首个Pre6G试验网在南京正式投入运行》。,Pre6G 前沿技术演进与试验|国内首个 前沿技术演进与试验|C114 前沿技术演进与试验|前沿技术演进与试验 技术趋势,https://www.c114.com.cn/news/16/a1308922.html
2026-04-21,首页,中国科学院院士尤肖虎：DOICT超融合是非常有潜力的技术,2026-04-21,DOICT,DOICT|中国科学院院士尤肖虎|超融合是非常有潜力的技术|C114|日消息在今天召开的|全球|技术与产业生态大会|中国科学院院士,DOICT|中国科学院院士尤肖虎|超融合是非常有潜力的技术|C114|日消息在今天召开的,技术趋势,前沿技术演进与试验,前沿技术演进与试验方向出现技术趋势信号，重点涉及DOICT、中国科学院院士尤肖虎；代表事件为《中国科学院院士尤肖虎：DOICT超融合是非常有潜力的技术》。,DOICT 前沿技术演进与试验|中国科学院院士尤肖虎 前沿技术演进与试验|超融合是非常有潜力的技术 前沿技术演进与试验|前沿技术演进与试验 技术趋势,https://www.c114.com.cn/news/16/a1308920.html
2026-04-21,首页,中国联通Q1运营数据：5G网络用户2.42亿户 联通云政企大客户数43.8万户,2026-04-21,中国联通,中国联通|Q1|运营数据|网络用户|亿户|联通云政企大客户数|万户|C114,中国联通|Q1|运营数据|网络用户|亿户,信息更新,运营商与设备商业绩动态,运营商与设备商业绩动态方向出现信息更新信号，重点涉及中国联通、Q1；代表事件为《中国联通Q1运营数据：5G网络用户2.42亿户 联通云政企大客户数43.8万户》。,中国联通 运营商与设备商业绩动态|Q1 运营商与设备商业绩动态|运营数据 运营商与设备商业绩动态|运营商与设备商业绩动态 信息更新,https://www.c114.com.cn/news/119/a1308917.html
2026-04-21,首页,中国联通Q1营收1028亿元：净利润49亿元 同比下降17.6%,2026-04-21,中国联通,中国联通|亿元|Q1|营收|净利润|同比下降|C114|日消息,中国联通|亿元|Q1|营收|净利润,业绩,运营商与设备商业绩动态,运营商与设备商业绩动态方向出现业绩信号，重点涉及中国联通、亿元；代表事件为《中国联通Q1营收1028亿元：净利润49亿元 同比下降17.6%》。,中国联通 运营商与设备商业绩动态|亿元 运营商与设备商业绩动态|Q1 运营商与设备商业绩动态|运营商与设备商业绩动态 业绩,https://www.c114.com.cn/news/119/a1308915.html
2026-04-21,首页,从股东结构看中国移动：产业资本入场，长线资金加仓,2026-04-21,中国移动,中国移动|从股东结构看中国移动|产业资本入场|长线资金加仓|C114|日消息|九九|中国移动昨日发布,中国移动|从股东结构看中国移动|产业资本入场|长线资金加仓|C114,业绩,运营商与设备商业绩动态,运营商与设备商业绩动态方向出现业绩信号，重点涉及中国移动、从股东结构看中国移动；代表事件为《从股东结构看中国移动：产业资本入场，长线资金加仓》。,中国移动 运营商与设备商业绩动态|从股东结构看中国移动 运营商与设备商业绩动态|产业资本入场 运营商与设备商业绩动态|运营商与设备商业绩动态 业绩,https://www.c114.com.cn/news/118/a1308889.html
2026-04-21,首页,紫光国微2025年实现净利润14.37亿元 同比增长21.86%,2026-04-21,紫光国微,紫光国微|年实现净利润|亿元|同比增长|C114|日消息|颜翊|昨日,紫光国微|年实现净利润|亿元|同比增长|C114,业绩,运营商与设备商业绩动态,运营商与设备商业绩动态方向出现业绩信号，重点涉及紫光国微、年实现净利润；代表事件为《紫光国微2025年实现净利润14.37亿元 同比增长21.86%》。,紫光国微 运营商与设备商业绩动态|年实现净利润 运营商与设备商业绩动态|亿元 运营商与设备商业绩动态|运营商与设备商业绩动态 业绩,https://www.c114.com.cn/news/123/a1308877.html
2026-04-21,首页,工信部谢存：我国累计建设2.5万余个“5G+工业互联网”项目,2026-04-21,工业互联网,工业互联网|G+|工信部谢存|我国累计建设|万余个|项目|C114|日消息,工业互联网|G+|工信部谢存|我国累计建设|万余个,信息更新,通信产业政策与网络建设,通信产业政策与网络建设方向出现信息更新信号，重点涉及工业互联网、G+；代表事件为《工信部谢存：我国累计建设2.5万余个“5G+工业互联网”项目》。,工业互联网 通信产业政策与网络建设|G+ 通信产业政策与网络建设|工信部谢存 通信产业政策与网络建设|通信产业政策与网络建设 信息更新,https://www.c114.com.cn/news/16/a1308868.html
2026-04-21,首页,工信部谢存：深入整治“内卷式”竞争 持续推进国产操作系统和RISC,2026-04-21,工信部|国产操作系统|RISC-V,RISC-V|工信部|国产操作系统|工信部谢存|深入整治|内卷式|竞争|持续推进国产操作系统和,RISC-V|工信部|国产操作系统|工信部谢存|深入整治,信息更新,通信产业政策与网络建设,通信产业政策与网络建设方向出现信息更新信号，重点涉及RISC-V、工信部；代表事件为《工信部谢存：深入整治“内卷式”竞争 持续推进国产操作系统和RISC》。,RISC-V 通信产业政策与网络建设|工信部 通信产业政策与网络建设|国产操作系统 通信产业政策与网络建设|通信产业政策与网络建设 信息更新,https://www.c114.com.cn/news/16/a1308866.html
2026-04-21,首页,“液冷龙头”英维克股价一字跌停 一季度净利润大跌82%,2026-04-21,英维克,英维克|液冷龙头|英维克股价一字跌停|一季度净利润大跌|C114|日消息|南山|资本市场,英维克|液冷龙头|英维克股价一字跌停|一季度净利润大跌|C114,业绩,运营商与设备商业绩动态,运营商与设备商业绩动态方向出现业绩信号，重点涉及英维克、液冷龙头；代表事件为《“液冷龙头”英维克股价一字跌停 一季度净利润大跌82%》。,英维克 运营商与设备商业绩动态|液冷龙头 运营商与设备商业绩动态|英维克股价一字跌停 运营商与设备商业绩动态|运营商与设备商业绩动态 业绩,https://www.c114.com.cn/news/16/a1308864.html
