x,y,t_ms
0.00,0.76,15.45
25.08,0.41,26.40
48.94,0.73,47.09
71.60,-0.11,56.54
93.10,1.59,65.21
113.48,2.47,83.68
132.75,0.51,91.92
150.95,0.15,102.96
168.11,-0.37,118.38
184.26,1.19,134.69
199.43,0.51,153.29
213.65,-0.23,177.25
226.96,0.48,196.58
239.38,-0.71,209.20
250.95,0.30,223.61
261.68,-1.34,246.93
271.63,-2.24,258.29
280.81,-1.60,281.98
289.25,-1.56,300.05
296.99,-1.68,309.44
304.06,0.28,329.57
310.49,-0.69,339.19
316.30,0.43,350.03
321.54,-0.21,361.08
326.22,-0.47,379.38
330.39,0.01,390.79
334.06,1.23,411.64
337.28,1.23,423.01
340.06,1.38,441.28
342.45,1.23,452.69
344.48,1.07,465.96
346.17,-0.19,475.40
347.55,0.34,511.44
348.65,0.33,558.21
349.19,0.41,602.21
348.99,-0.60,647.46
348.61,-0.78,671.15
348.07,0.17,695.05
347.41,-0.44,731.16
346.66,-1.43,750.32
345.84,-2.06,789.46
345.00,-0.00,825.35
