统计日期,栏目键,栏目名称,栏目链接,栏目文章数,栏目热点词,文章标题,发布时间,关键词,摘要,文章链接
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,Java打包时，本地仓库有jar 包，Maven打包却还去远程拉取,2026-04-12,maven|月更|maven打包|maven问题排查|maven打包命令,在日常开发工作中，总会用到Maven 打包的场景，在maven 打包时，理论上对于本地不存在的包，Maven 会自动从远程拉取指定版本号的最新包。如果本地存在包，Maven 则不会从远程拉取指定版本号的包。但是在实际工作中，有这样一个场景：通过Maven 从远程仓库拉取,https://www.infoq.cn/article/02a0f16f3dcb939bb9c05a084
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,UUID v7 一文详解,2026-04-12,uuid|月更|UUID v7|唯一码|UUID版本差异,在介绍UUID v7 之前，先来简单介绍一下 UUID。,https://www.infoq.cn/article/b650b6e3a2086006a2890365b
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,Easysearch BKD Merge 异常排查实录：最终定位到旧版 GraalVM JIT 运行时,2026-04-12,lucene|elasticsearch|jdk|GraalVM|easysearch,一次看似像 Easysearch BKD merge 逻辑 bug 的问题，最终通过代码级探针、JVM 对照实验和 Elasticsearch 复现，被收敛为旧版 Oracle GraalVM 21 构建相关的 JVMCI/Graal JIT 运行时问题，而不是 Easysearch 本身逻辑缺陷。,https://www.infoq.cn/article/5d4248e090f87fa419fc54778
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,openclaw的挑战者来了? 我的hermes使用体验,2026-04-12,AI|agent|AI Agent时代|OpenClaw|hermes,"经常看到社区上大家对openclaw的吐槽还是很多的, Hermes Agent 是 **Nous Research** 开源的一个 AI Agent 项目, 它想做的是：一个长期在线、持续学习、慢慢长出个人风格的 AI 助手。目前已经50k 的star，增长十分迅猛.",https://www.infoq.cn/article/952ea16d263b812293157280a
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,软件重构：进化视角,2026-04-12,软件重构,软件的腐化一直是架构师面临的一个巨大挑战。不管团队有多优秀，不管在初期建设的时候投入了多大的精力架构设计有多优秀，不管后续有没有严格的CR和测试，一个软件都会或快或慢的出现一些腐化的痕迹。所以大部分软件最终的命运大都是走向腐烂和消亡。,https://www.infoq.cn/article/c685a75e2ea1270ed49479537
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,质量和效率的平衡：如何构建快速支撑新业务的软件架构,2026-04-12,软件工程,今天来讨论一个有挑战的问题：互联网的在线系统，如何进行重构和升级。要满足快速、低成本的持续交付不断迭代中的功能，我们的软件架构设计理念也许需要做一定的升级。主要包括解耦、分层、重混、持续几个点。,https://www.infoq.cn/article/18a2704dcaaa153e2239c0497
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,把漫画脚本做成动画短片的工程化笔记：顺手接入_DМXΑРΙ,2026-04-12,首页,做 AIGC 动画短片与漫画视频化，最容易被低估的不是模型本身，而是“从一页漫画到一条可交付视频”之间那串并不起眼的工程步骤。很多人把注意力放在某个爆款视频模型，结果真开工时才发现，真正拖慢效率的往往是脚本拆镜、角色设定统一、分镜提示词复用、口播,https://www.infoq.cn/article/e5a77c47f9392776ecf29bcfa
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,小白瞬间“专业程序员上身”，这套AI工作流把编程短板全补上了 | 实测Superpowers,2026-04-12,开源|编程|AI,最近我被一个问题反复教育：AI 写代码越来越快，但项目并没有越来越稳。我这种急性子，以前最常干的事就是「先让它写完再说」。为了少走点弯路，实测了套开源方案：obra/superpowers 。,https://www.infoq.cn/article/38ad27ea4a9333f45817ef5fe
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,Harness or Model?,2026-04-12,Harness Engineering,最近Harness一次火出了整个AI圈，大有替代Prompt，Context，RAG的势头。甚至已经有了Harness is Everything的口号。但是，和AI是否万能一样，Harness这个套在AI外面的盔甲是万能的，是必须的么？怎么在我们日常的工作中，实践Harness这个理念？,https://www.infoq.cn/article/c7bdc6820b350de7422892e0c
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,血压飙升！我用 Trae 和 Codebuddy 现场 PK 写官网，结果演成了一出“狗血剧”,2026-04-12,AI|月更|若依框架,今天这篇推文，我愿称之为史上最强——《赛博玄学与大模型翻车实录》。,https://www.infoq.cn/article/00ac4d987cd2b4b91845634a3
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,浏览器插件上架微软 Microsoft Edge 插件商店流程记录,2026-04-12,浏览器插件|浏览器插件上架|Edge插件发布,上一篇文章是注册成为开发者，这篇是上架流程记录。第一次上架流程比较繁琐，而且默认是英文的，更不能理解的是有些选项不是必填项，但你不填就不行，是最容易踩坑的地方。,https://www.infoq.cn/article/161b88d48b26c5c710997f9d2
2026-04-12,首页,首页,https://www.infoq.cn/,12,月更:4|AI:3|maven:1|maven打包:1|maven问题排查:1|maven打包命令:1|uuid:1|UUID v7:1|唯一码:1|UUID版本差异:1,HarmonyOS 6 自定义人脸识别模型10：基于MindSpore Lite框架的自定义人脸识别功能实现,2026-04-12,鸿蒙|HarmonyOS|月更,从模型格式转换到今天的高压实战。在这场硬仗中，我们通过 C++ 高效截取底层视频流并完成像素映射转换，驱动 MindSpore Lite 获取极致的推理性能；再从多线程通信中化险为夷，最后加上灵活的 ArkTS UI 和逆映射策略。,https://www.infoq.cn/article/dffd5cd7f85c417fe4569143c
