统计日期,栏目键,栏目名称,栏目链接,栏目文章数,栏目热点词,文章标题,发布时间,关键词,摘要,文章链接
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,Claude Opus 4.7连夜突袭：或将抢走全球7亿打工人饭碗,2026-04-17,首页最新文章,,https://36kr.com/p/3770103465607685
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,8点1氪丨全季大连某酒店账号公开多名客人特殊订单备注；金立手机创始人被曝在印尼卖家具；雷军将连播15小时测试新SU7续航,2026-04-17,首页最新文章,,https://36kr.com/p/3770155029398018
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,史诗级进化，OpenAI上线Mac版“超级龙虾”：Codex进化成赛博同事,2026-04-17,首页最新文章,,https://36kr.com/p/3770202199323136
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,刚刚，Claude Opus 4.7突然发布：不是最强，但奥特曼又得失眠,2026-04-17,首页最新文章,,https://36kr.com/p/3770089953509894
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,最前线｜大疆发布 Pocket 4 并预告双摄版本，起售价下调500元,2026-04-17,首页最新文章,,https://36kr.com/p/3769604011885316
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,Claude Opus 4.7深夜炸场，胜任更长任务、自主检查，视觉能力拉满,2026-04-17,首页最新文章,,https://36kr.com/p/3770041238979336
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,北大医学博士：80%猝死的人，平时看起来都很正常,2026-04-17,首页最新文章,,https://36kr.com/p/3770156143493892
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,2026年你真正该专注的事，其余全是噪音,2026-04-17,首页最新文章,,https://36kr.com/p/3731492566827009
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,AI可以自审代码了，Opus 4.7出手解决“屎山”,2026-04-17,首页最新文章,,https://36kr.com/p/3770168317358593
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,最高涨463%，算力全面涨价后，老板开始考核“谁用的Token最少”⋯⋯,2026-04-17,首页最新文章,,https://36kr.com/p/3770237271572998
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,Gemini桌面客户端终于上线：直接读取屏幕上下文，帮你解读一切,2026-04-17,首页最新文章,,https://36kr.com/p/3770104217944581
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,一线房价，全面转涨,2026-04-17,首页最新文章,,https://36kr.com/p/3770276970480390
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,4平米的经济型酒店，真的赚钱吗？,2026-04-17,首页最新文章,,https://36kr.com/p/3770227506950657
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,大厂资深程序员，“未来码农的优势可能是比AI更便宜”,2026-04-17,首页最新文章,,https://36kr.com/p/3770190481015301
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,Kimi的问题不在对手，而在起点,2026-04-17,首页最新文章,,https://36kr.com/p/3770372392010499
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,老黄可能开始焦虑了,2026-04-17,首页最新文章,,https://36kr.com/p/3769588013330945
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,Claude Opus 4.7炸场，6美元造《我的世界》，临门AGI前强调安全，打工人却更慌了,2026-04-17,首页最新文章,,https://36kr.com/p/3770121995911944
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,海底捞最有号召力的女人，又回来了,2026-04-17,首页最新文章,,https://36kr.com/p/3770160924869120
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,智能体时代 AI 选择指南,2026-04-17,首页最新文章,,https://36kr.com/p/3734928327655687
2026-04-17,home,首页最新文章,https://36kr.com/,20,首页最新文章:20,AI大模型吞噬软件路径推演,2026-04-17,首页最新文章,,https://36kr.com/p/3770148992582152
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,金螳螂：与越南Sun Group签署的备忘录中不涉及任何具体项目及具体金额,2026-04-17,快讯,,https://36kr.com/newsflashes/3770469160043268
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,南向资金净买入额达60亿港元,2026-04-17,快讯,,https://36kr.com/newsflashes/3770466618835462
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,爱立信第一季度销售净额493.3亿瑞典克朗，不及预期,2026-04-17,快讯,,https://36kr.com/newsflashes/3770457512788483
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,长鑫存储、长江存储现“先款排产”,2026-04-17,快讯,,https://36kr.com/newsflashes/3770451858965251
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,“加速进化”完成近10亿元融资,2026-04-17,快讯,,https://36kr.com/newsflashes/3770428884812297
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,通义千问关联公司增资至2亿元,2026-04-17,快讯,,https://36kr.com/newsflashes/3770417832346116
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,现货白银日内涨超1%,2026-04-17,快讯,,https://36kr.com/newsflashes/3770436976001801
2026-04-17,newsflashes,快讯,https://36kr.com/newsflashes/,60,快讯:60,迪拜启用全球首个综合空中出租车起降场,2026-04-17,快讯,,https://36kr.com/newsflashes/3770413052871169
